dx,severity,issbr
S060X5A,2,Head/Neck
S060X6A,5,Head/Neck
S060X7A,2,Head/Neck
S060X8A,2,Head/Neck
S060X9A,2,Head/Neck
S061X0A,1,Head/Neck
S061X1A,2,Head/Neck
S061X2A,2,Head/Neck
S061X3A,3,Head/Neck
S061X4A,3,Head/Neck
S061X5A,5,Head/Neck
S061X6A,5,Head/Neck
S061X7A,5,Head/Neck
S061X8A,5,Head/Neck
S061X9A,2,Head/Neck
S062X0A,1,Head/Neck
S062X1A,2,Head/Neck
S062X2A,2,Head/Neck
S062X3A,3,Head/Neck
S062X4A,3,Head/Neck
S062X5A,5,Head/Neck
S062X6A,5,Head/Neck
S062X7A,5,Head/Neck
S062X8A,5,Head/Neck
S062X9A,2,Head/Neck
S06300A,1,Head/Neck
S06301A,2,Head/Neck
S06302A,2,Head/Neck
S06303A,3,Head/Neck
S06304A,3,Head/Neck
S06305A,5,Head/Neck
S06306A,5,Head/Neck
S06307A,5,Head/Neck
S06308A,5,Head/Neck
S06309A,2,Head/Neck
S06310A,3,Head/Neck
S06311A,3,Head/Neck
S06312A,3,Head/Neck
S06313A,3,Head/Neck
S06314A,3,Head/Neck
S06315A,3,Head/Neck
S06316A,3,Head/Neck
S06317A,3,Head/Neck
S06318A,3,Head/Neck
S06319A,3,Head/Neck
S06320A,3,Head/Neck
S06321A,3,Head/Neck
S06322A,3,Head/Neck
S06323A,3,Head/Neck
S06324A,3,Head/Neck
S06325A,3,Head/Neck
S06326A,3,Head/Neck
S06327A,3,Head/Neck
S06328A,3,Head/Neck
S06329A,3,Head/Neck
S06330A,3,Head/Neck
S06331A,3,Head/Neck
S06332A,3,Head/Neck
S06333A,3,Head/Neck
S06334A,3,Head/Neck
S06335A,3,Head/Neck
S06336A,3,Head/Neck
S06337A,3,Head/Neck
S06338A,3,Head/Neck
S06339A,3,Head/Neck
S06340A,4,Head/Neck
S06341A,4,Head/Neck
S06342A,4,Head/Neck
S06343A,4,Head/Neck
S06344A,4,Head/Neck
S06345A,4,Head/Neck
S06346A,4,Head/Neck
S06347A,4,Head/Neck
S06348A,4,Head/Neck
S06349A,4,Head/Neck
S06350A,4,Head/Neck
S06351A,4,Head/Neck
S06352A,4,Head/Neck
S06353A,4,Head/Neck
S06354A,4,Head/Neck
S06355A,4,Head/Neck
S06356A,4,Head/Neck
S06357A,4,Head/Neck
S06358A,4,Head/Neck
S06359A,4,Head/Neck
S06360A,4,Head/Neck
S06361A,4,Head/Neck
S06362A,4,Head/Neck
S06363A,4,Head/Neck
S06364A,4,Head/Neck
S06365A,4,Head/Neck
S06366A,4,Head/Neck
S06367A,4,Head/Neck
S06368A,4,Head/Neck
S06369A,4,Head/Neck
S06370A,3,Head/Neck
S06371A,3,Head/Neck
S06372A,3,Head/Neck
S06373A,3,Head/Neck
S06374A,3,Head/Neck
S06375A,5,Head/Neck
S06376A,5,Head/Neck
S06377A,5,Head/Neck
S06378A,5,Head/Neck
S06379A,3,Head/Neck
S06380A,3,Head/Neck
S06381A,3,Head/Neck
S06382A,3,Head/Neck
S06383A,3,Head/Neck
S06384A,3,Head/Neck
S06385A,5,Head/Neck
S06386A,5,Head/Neck
S06387A,5,Head/Neck
S06388A,5,Head/Neck
S06389A,3,Head/Neck
S064X0A,4,Head/Neck
S064X1A,4,Head/Neck
S064X2A,4,Head/Neck
S064X3A,4,Head/Neck
S064X4A,4,Head/Neck
S064X5A,4,Head/Neck
S064X6A,5,Head/Neck
S064X7A,5,Head/Neck
S064X8A,5,Head/Neck
S064X9A,4,Head/Neck
S065X0A,4,Head/Neck
S065X1A,4,Head/Neck
S065X2A,4,Head/Neck
S065X3A,4,Head/Neck
S065X4A,4,Head/Neck
S065X5A,4,Head/Neck
S065X6A,5,Head/Neck
S065X7A,5,Head/Neck
S065X8A,5,Head/Neck
S065X9A,4,Head/Neck
S066X0A,3,Head/Neck
S066X1A,3,Head/Neck
S066X2A,3,Head/Neck
S066X3A,3,Head/Neck
S066X4A,3,Head/Neck
S066X5A,3,Head/Neck
S066X6A,3,Head/Neck
S066X7A,3,Head/Neck
S066X8A,3,Head/Neck
S066X9A,3,Head/Neck
S06810A,1,Head/Neck
S06811A,2,Head/Neck
S06812A,2,Head/Neck
S06813A,3,Head/Neck
S06814A,3,Head/Neck
S06815A,5,Head/Neck
S06816A,5,Head/Neck
S06817A,5,Head/Neck
S06818A,5,Head/Neck
