"dx","TQIP_severity","TQIP_issbr","NIS_severity","NIS_issbr","TQIP_only_severity","TQIP_only_issbr","NIS_only_severity","NIS_only_issbr","TQIP_effect","TQIP_intercept","NIS_effect","NIS_intercept"
"S00432A",2,"Face",1,"Face",2,"Face",1,"Face",0.177098457024782,-4.20266881449525,-0.133582212763292,-3.86746598419918
"S00439A",1,"Face",1,"Face",1,"Face",1,"Face",-0.3120316499061,-4.20266881449525,-0.808578949685213,-3.86746598419918
"S00441A",1,"Face",1,"Face",1,"Face",NA,NA,-0.716438038868672,-4.20266881449525,NA,NA
"S00442A",1,"Face",1,"Face",1,"Face",NA,NA,-0.975171334194287,-4.20266881449525,NA,NA
"S00451A",1,"Face",1,"Face",1,"Face",1,"Face",-0.892078591000949,-4.20266881449525,-0.42709348361633,-3.86746598419918
"S00452A",1,"Face",1,"Face",1,"Face",1,"Face",-0.683065140388879,-4.20266881449525,-0.558204899676978,-3.86746598419918
"S00459A",1,"Face",1,"Face",1,"Face",NA,NA,-0.979884333297117,-4.20266881449525,NA,NA
"S00461A",1,"Face",1,"Face",NA,NA,1,"Face",NA,NA,-0.485916239840724,-3.86746598419918
"S00462A",1,"Face",1,"Face",1,"Face",1,"Face",-0.407244280526754,-4.20266881449525,-0.558206017990122,-3.86746598419918
"S00471A",1,"Face",1,"Face",1,"Face",1,"Face",-0.233675277579727,-4.20266881449525,-0.558204899319204,-3.86746598419918
"S00472A",1,"Face",1,"Face",1,"Face",1,"Face",-0.376764348032172,-4.20266881449525,-0.558204899306391,-3.86746598419918
"S00501A",1,"Face",1,"Face",1,"Face",1,"Face",-0.0522268519034895,-4.20266881449525,-0.551424684358171,-3.86746598419918
"S00502A",1,"Face",1,"Face",1,"Face",1,"Face",0.015542926664329,-4.20266881449525,-0.555131610969501,-3.86746598419918
"S00511A",1,"Face",1,"Face",1,"Face",1,"Face",0.110183829431182,-4.20266881449525,-0.426496545600307,-3.86746598419918
"S00512A",2,"Face",1,"Face",2,"Face",1,"Face",0.243951234867253,-4.20266881449525,-0.271492538026858,-3.86746598419918
"S00521A",1,"Face",1,"Face",1,"Face",1,"Face",-0.816247082418339,-4.20266881449525,-0.607163960779581,-3.86746598419918
"S00522A",1,"Face",1,"Face",1,"Face",1,"Face",-0.575609401495097,-4.20266881449525,-0.537411276024169,-3.86746598419918
"S00531A",1,"Face",1,"Face",1,"Face",1,"Face",0.127014951193541,-4.20266881449525,-0.239346053968733,-3.86746598419918
"S00532A",3,"Face",1,"Face",3,"Face",1,"Face",0.720855504252181,-4.20266881449525,-0.603097769588962,-3.86746598419918
"S00542A",5,"Face",5,"Face",5,"Face",NA,NA,1.6815429300839,-4.20266881449525,NA,NA
"S00551A",5,"Face",5,"Face",5,"Face",NA,NA,2.65638605629033,-4.20266881449525,NA,NA
"S00552A",5,"Face",1,"Face",5,"Face",1,"Face",1.38867844752114,-4.20266881449525,-0.55820490489666,-3.86746598419918
"S00561A",1,"Face",1,"Face",NA,NA,1,"Face",NA,NA,-0.558207142179046,-3.86746598419918
"S00562A",1,"Face",1,"Face",NA,NA,1,"Face",NA,NA,-0.558204904845405,-3.86746598419918
"S00571A",1,"Face",1,"Face",1,"Face",1,"Face",-0.588211416650647,-4.20266881449525,-0.823619702298032,-3.86746598419918
"S00572A",1,"Face",1,"Face",1,"Face",1,"Face",-0.822133555306596,-4.20266881449525,-0.543510965294386,-3.86746598419918
"S0080XA",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",0.305757359269428,-4.20266881449525,-0.666685101200689,-3.86746598419918
"S0081XA",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-0.0389608367362104,-4.20266881449525,-0.180025971598004,-3.86746598419918
"S0082XA",5,"Head/Neck",1,"Head/Neck",5,"Head/Neck",1,"Head/Neck",1.33059660137782,-4.20266881449525,-0.530150828469232,-3.86746598419918
