"dx","barell","severity","issbr","apc"
"80330","01A",4,1,"A"
"80331","01A",4,1,"A"
"80332","01A",4,1,"A"
"80333","01A",4,1,"A"
"80334","01A",4,1,"A"
"80335","01A",4,1,"A"
"80336","01A",4,1,"A"
"80339","01A",4,1,"A"
"80340","01A",3,1,"A"
"80341","01A",2,1,"D"
"80342","01A",2,1,"D"
"80343","01A",2,1,"D"
"80344","01A",5,1,"A"
"80345","01A",3,1,"A"
"80346","01A",2,1,"D"
"80349","01A",3,1,"A"
"80350","02A",2,1,"D"
"80351","03A",2,1,"D"
"80352","02A",2,1,"D"
"80353","01A",2,1,"D"
"80354","01A",2,1,"D"
"80355","01A",2,1,"D"
"80356","02A",2,1,"D"
"80359","02A",2,1,"D"
"80360","01A",2,1,"D"
"80361","01A",2,1,"D"
"80362","01A",2,1,"D"
"80363","01A",2,1,"D"
"80364","01A",2,1,"D"
"80365","01A",5,1,"A"
"80366","01A",2,1,"D"
"80369","01A",2,1,"D"
"80370","01A",3,1,"A"
"80371","01A",4,1,"A"
"80372","01A",3,1,"A"
"80373","01A",4,1,"A"
"80374","01A",3,1,"A"
"80375","01A",4,1,"A"
"80376","01A",4,1,"A"
"80379","01A",4,1,"A"
"80380","01A",4,1,"A"
"80381","01A",4,1,"A"
"80382","01A",2,1,"D"
"80383","01A",3,1,"A"
"80384","01A",4,1,"A"
"80385","01A",5,1,"A"
"80386","01A",4,1,"A"
"80389","01A",3,1,"A"
"80390","01A",3,1,"A"
"80391","01A",3,1,"A"
"80392","01A",3,1,"A"
"80393","01A",2,1,"D"
"80394","01A",2,1,"D"
"80395","01A",5,1,"A"
"80396","01A",2,1,"D"
"80399","01A",2,1,"D"
"80400","02A",2,1,"D"
"80401","03A",2,1,"D"
"80402","02A",3,1,"C"
"80403","01A",4,1,"C"
"80404","01A",3,1,"C"
"80405","01A",3,1,"C"
"80406","02A",2,1,"D"
"80409","02A",2,1,"D"
"80410","01A",2,1,"D"
"80411","01A",2,1,"D"
"80412","01A",3,1,"C"
"80413","01A",3,1,"C"
"80414","01A",5,1,"C"
"80415","01A",5,1,"C"
"80416","01A",3,1,"C"
"80419","01A",4,1,"C"
"80420","01A",3,1,"C"
"80421","01A",3,1,"C"
"80422","01A",3,1,"C"
"80423","01A",4,1,"C"
"80424","01A",5,1,"C"
"80425","01A",3,1,"C"
"80426","01A",3,1,"C"
"80429","01A",3,1,"C"
"80430","01A",3,1,"C"
"80431","01A",3,1,"C"
"80432","01A",4,1,"C"
"80433","01A",4,1,"C"
"80434","01A",5,1,"C"
"80435","01A",4,1,"C"
"80436","01A",5,1,"C"
"80439","01A",1,1,"D"
"80440","01A",3,1,"C"
"80441","01A",3,1,"C"
"80442","01A",3,1,"C"
"80443","01A",5,1,"C"
"80444","01A",5,1,"C"
"80445","01A",5,1,"C"
"80446","01A",5,1,"C"
"80449","01A",3,1,"C"
"80450","02A",3,1,"C"
"80451","03A",3,1,"C"
"80452","02A",4,1,"C"
"80453","01A",3,1,"C"
"80454","01A",3,1,"C"
"80455","01A",5,1,"C"
"80456","02A",3,1,"C"
"80459","02A",3,1,"C"
"80460","01A",4,1,"C"
"80461","01A",3,1,"C"
"80462","01A",5,1,"C"
"80463","01A",5,1,"C"
"80464","01A",4,1,"C"
"80465","01A",4,1,"C"
"80466","01A",5,1,"C"
"80469","01A",5,1,"C"
"80470","01A",4,1,"C"
"80471","01A",4,1,"C"
"80472","01A",3,1,"C"
"80473","01A",4,1,"C"
"80474","01A",3,1,"C"
"80475","01A",5,1,"C"
"80476","01A",4,1,"C"
"80479","01A",3,1,"C"
"80480","01A",4,1,"C"
"80481","01A",2,1,"D"
"80482","01A",5,1,"C"
"80483","01A",4,1,"C"
"80484","01A",4,1,"C"
"80485","01A",5,1,"C"
"80486","01A",4,1,"C"
"80489","01A",3,1,"C"
"80490","01A",3,1,"C"
"80491","01A",3,1,"C"
"80492","01A",3,1,"C"
"80493","01A",3,1,"C"
"80494","01A",6,1,"C"
"80495","01A",5,1,"C"
"80496","01A",3,1,"C"
"80499","01A",4,1,"C"
"80500","14A",2,1,"D"
"80501","14A",2,1,"D"
"80502","14A",2,1,"D"
"80503","14A",2,1,"D"
