"dx","mechmaj","mechmin","intent"
"E8344",9,NA,0
"E8345",9,NA,0
"E8346",9,NA,0
"E8348",9,NA,0
"E8349",9,NA,0
"E8350",9,NA,0
"E8351",9,NA,0
"E8352",9,NA,0
"E8353",9,NA,0
"E8354",9,NA,0
"E8355",9,NA,0
"E8356",9,NA,0
"E8358",9,NA,0
"E8359",9,NA,0
"E8360",9,NA,0
"E8361",9,NA,0
"E8362",9,NA,0
"E8363",9,NA,0
"E8364",9,NA,0
"E8365",9,NA,0
"E8366",9,NA,0
"E8368",9,NA,0
"E8369",9,NA,0
"E8370",9,NA,0
"E8371",9,NA,0
"E8372",9,NA,0
"E8373",9,NA,0
"E8374",9,NA,0
"E8375",9,NA,0
"E8376",9,NA,0
"E8378",9,NA,0
"E8379",9,NA,0
"E8380",9,NA,0
"E8381",9,NA,0
"E8382",9,NA,0
"E8383",9,NA,0
"E8384",9,NA,0
"E8385",9,NA,0
"E8386",9,NA,0
"E8388",9,NA,0
"E8389",9,NA,0
"E8400",9,NA,0
"E8401",9,NA,0
"E8402",9,NA,0
"E8403",9,NA,0
"E8404",9,NA,0
"E8405",9,NA,0
"E8406",9,NA,0
"E8407",9,NA,0
"E8408",9,NA,0
"E8409",9,NA,0
"E8410",9,NA,0
"E8411",9,NA,0
"E8412",9,NA,0
"E8413",9,NA,0
"E8414",9,NA,0
"E8415",9,NA,0
"E8416",9,NA,0
"E8417",9,NA,0
"E8418",9,NA,0
"E8419",9,NA,0
"E8426",9,NA,0
"E8427",9,NA,0
"E8428",9,NA,0
"E8429",9,NA,0
"E8430",9,NA,0
"E8431",9,NA,0
"E8432",9,NA,0
"E8433",9,NA,0
"E8434",9,NA,0
"E8435",9,NA,0
"E8436",9,NA,0
"E8437",9,NA,0
"E8438",9,NA,0
"E8439",9,NA,0
"E8440",9,NA,0
"E8441",9,NA,0
"E8442",9,NA,0
"E8443",9,NA,0
"E8444",9,NA,0
"E8445",9,NA,0
"E8446",9,NA,0
"E8447",9,NA,0
"E8448",9,NA,0
"E8449",9,NA,0
"E8450",9,NA,0
"E8458",9,NA,0
"E8459",9,NA,0
"E846",15,NA,0
"E847",15,NA,0
"E848",15,NA,0
"E8500",12,NA,0
"E8501",12,NA,0
"E8502",12,NA,0
"E8503",12,NA,0
"E8504",12,NA,0
"E8505",12,NA,0
"E8506",12,NA,0
"E8507",12,NA,0
"E8508",12,NA,0
"E8509",12,NA,0
"E851",12,NA,0
"E8520",12,NA,0
"E8521",12,NA,0
"E8522",12,NA,0
"E8523",12,NA,0
"E8524",12,NA,0
"E8525",12,NA,0
"E8528",12,NA,0
"E8529",12,NA,0
"E8530",12,NA,0
"E8531",12,NA,0
"E8532",12,NA,0
"E8538",12,NA,0
"E8539",12,NA,0
"E8540",12,NA,0
"E8541",12,NA,0
"E8542",12,NA,0
"E8543",12,NA,0
"E8548",12,NA,0
"E8550",12,NA,0
"E8551",12,NA,0
"E8552",12,NA,0
"E8553",12,NA,0
"E8554",12,NA,0
"E8555",12,NA,0
"E8556",12,NA,0
"E8558",12,NA,0
"E8559",12,NA,0
"E856",12,NA,0
"E857",12,NA,0
"E8580",12,NA,0
"E8581",12,NA,0
"E8582",12,NA,0
"E8583",12,NA,0
"E8584",12,NA,0
"E8585",12,NA,0
"E8586",12,NA,0
"E8587",12,NA,0
"E8588",12,NA,0
"E8589",12,NA,0
"E8600",12,NA,0
"E8601",12,NA,0
"E8602",12,NA,0
"E8603",12,NA,0
"E8604",12,NA,0
"E8608",12,NA,0
"E8609",12,NA,0
"E8610",12,NA,0
"E8611",12,NA,0
"E8612",12,NA,0
"E8613",12,NA,0
"E8614",12,NA,0
"E8615",12,NA,0
"E8616",12,NA,0
"E8619",12,NA,0
"E8620",12,NA,0
"E8621",12,NA,0
"E8622",12,NA,0
"E8623",12,NA,0
"E8624",12,NA,0
"E8629",12,NA,0
"E8630",12,NA,0
"E8631",12,NA,0
"E8632",12,NA,0
"E8633",12,NA,0
"E8634",12,NA,0
"E8635",12,NA,0
"E8636",12,NA,0
"E8637",12,NA,0
"E8638",12,NA,0
"E8639",12,NA,0
"E8640",12,NA,0
"E8641",12,NA,0
"E8642",12,NA,0
"E8643",12,NA,0
"E8644",12,NA,0
"E8650",12,NA,0
"E8651",12,NA,0
"E8652",12,NA,0
"E8653",12,NA,0
"E8654",12,NA,0
"E8655",12,NA,0
"E8658",12,NA,0
"E8659",12,NA,0
"E8660",12,NA,0
"E8661",12,NA,0
"E8662",12,NA,0
"E8663",12,NA,0
"E8664",12,NA,0
"E8665",12,NA,0
"E8666",12,NA,0
"E8667",12,NA,0
"E8668",12,NA,0
"E8669",12,NA,0
"E867",12,NA,0
"E8680",12,NA,0
"E8681",12,NA,0
"E8682",12,NA,0
"E8683",12,NA,0
"E8688",12,NA,0
"E8689",12,NA,0
"E8690",12,NA,0
"E8691",12,NA,0
"E8692",12,NA,0
"E8693",12,NA,0
"E8694",12,NA,0
"E8698",12,NA,0
"E8699",12,NA,0
"E8700",18,0,4
"E8701",18,0,4
"E8702",18,0,4
"E8703",18,0,4
"E8704",18,0,4
"E8705",18,0,4
"E8706",18,0,4
"E8707",18,0,4
"E8708",18,0,4
"E8709",18,0,4
"E8710",18,0,4
"E8711",18,0,4
"E8712",18,0,4
"E8713",18,0,4
"E8714",18,0,4
"E8715",18,0,4
"E8716",18,0,4
"E8717",18,0,4
"E8718",18,0,4
"E8719",18,0,4
"E8720",18,0,4
"E8721",18,0,4
"E8722",18,0,4
"E8723",18,0,4
"E8724",18,0,4
"E8725",18,0,4
"E8726",18,0,4
"E8728",18,0,4
"E8729",18,0,4
"E8730",18,0,4
"E8731",18,0,4
"E8732",18,0,4
"E8733",18,0,4
"E8734",18,0,4
"E8735",18,0,4
"E8736",18,0,4
"E8738",18,0,4
"E8739",18,0,4
"E8740",18,0,4
"E8741",18,0,4
"E8742",18,0,4
"E8743",18,0,4
"E8744",18,0,4
"E8745",18,0,4
"E8748",18,0,4
"E8749",18,0,4
"E8750",18,0,4
"E8751",18,0,4
"E8752",18,0,4
"E8758",18,0,4
"E8759",18,0,4
"E8760",18,0,4
"E8761",18,0,4
"E8762",18,0,4
"E8763",18,0,4
"E8764",18,0,4
"E8765",18,0,4
"E8768",18,0,4
"E8769",18,0,4
"E8780",18,0,4
"E8781",18,0,4
"E8782",18,0,4
"E8783",18,0,4
"E8784",18,0,4
"E8785",18,0,4
"E8786",18,0,4
"E8788",18,0,4
"E8789",18,0,4
"E8790",18,0,4
"E8791",18,0,4
"E8792",18,0,4
"E8793",18,0,4
"E8794",18,0,4
"E8795",18,0,4
"E8796",18,0,4
"E8797",18,0,4
"E8798",18,0,4
"E8799",18,0,4
"E8800",2,NA,0
"E8801",2,NA,0
"E8809",2,NA,0
"E8810",2,NA,0
"E8811",2,NA,0
"E882",2,NA,0
"E8830",2,NA,0
"E8831",2,NA,0
"E8832",2,NA,0
"E8839",2,NA,0
"E8840",2,NA,0
"E8841",2,NA,0
"E8842",2,NA,0
"E8843",2,NA,0
"E8844",2,NA,0
"E8845",2,NA,0
"E8846",2,NA,0
"E8849",2,NA,0
"E885",2,NA,0
"E8850",2,NA,0
"E8851",2,NA,0
"E8852",2,NA,0
"E8853",2,NA,0
"E8854",2,NA,0
"E8859",2,NA,0
"E8860",2,NA,0
"E8869",2,NA,0
"E887",17,NA,0
"E888",2,NA,0
"E8880",2,NA,0
"E8881",2,NA,0
"E8888",2,NA,0
"E8889",2,NA,0
"E8900",3,0,0
"E8901",3,0,0
"E8902",3,0,0
"E8903",3,0,0
"E8908",3,0,0
"E8909",3,0,0
"E8910",3,0,0
"E8911",3,0,0
"E8912",3,0,0
"E8913",3,0,0
"E8918",3,0,0
"E8919",3,0,0
"E892",3,0,0
"E8930",3,0,0
"E8931",3,0,0
"E8932",3,0,0
"E8938",3,0,0
"E8939",3,0,0
"E894",3,0,0
"E895",3,0,0
"E896",3,0,0
"E897",3,0,0
"E8980",3,0,0
"E8981",3,0,0
"E899",3,0,0
"E9000",10,NA,0
"E9001",10,NA,0
"E9009",10,NA,0
"E9010",10,NA,0
"E9011",10,NA,0
"E9018",10,NA,0
"E9019",10,NA,0
"E9020",10,NA,0
"E9021",10,NA,0
"E9022",10,NA,0
"E9028",10,NA,0
"E9029",10,NA,0
"E903",10,NA,0
"E9040",10,NA,0
"E9041",10,NA,0
"E9042",10,NA,0
"E9043",10,NA,0
"E9049",10,NA,0
"E9050",10,0,0
"E9051",10,0,0
"E9052",10,0,0
"E9053",10,0,0
"E9054",10,0,0
"E9055",10,0,0
"E9056",10,0,0
"E9057",10,NA,0
"E9058",10,NA,0
"E9059",10,0,0
"E9060",10,0,0
"E9061",10,0,0
"E9062",10,0,0
"E9063",10,0,0
"E9064",10,0,0
"E9065",10,0,0
"E9068",10,NA,0
"E9069",10,0,0
"E907",10,NA,0
"E908",10,NA,0
"E9080",10,NA,0
"E9081",10,NA,0
"E9082",10,NA,0
"E9083",10,NA,0
"E9084",10,NA,0
"E9088",10,NA,0
"E9089",10,NA,0
"E909",10,NA,0
"E9090",10,NA,0
"E9091",10,NA,0
"E9092",10,NA,0
"E9093",10,NA,0
"E9094",10,NA,0
"E9098",10,NA,0
"E9099",10,NA,0
"E9100",1,NA,0
"E9101",1,NA,0
"E9102",1,NA,0
"E9103",1,NA,0
"E9104",1,NA,0
"E9108",1,NA,0
"E9109",1,NA,0
"E911",14,NA,0
"E912",14,NA,0
"E9130",14,NA,0
"E9131",14,NA,0
"E9132",14,NA,0
"E9133",14,NA,0
"E9138",14,NA,0
"E9139",14,NA,0
"E914",15,NA,0
"E915",15,NA,0
"E916",13,NA,0
"E9170",13,NA,0
"E9171",13,NA,0
"E9172",13,NA,0
"E9173",13,NA,0
"E9174",13,NA,0
"E9175",13,NA,0
"E9176",13,NA,0
"E9177",13,NA,0
"E9178",13,NA,0
"E9179",13,NA,0
"E918",15,NA,0
"E9190",5,NA,0
"E9191",5,NA,0
"E9192",5,NA,0
"E9193",5,NA,0
"E9194",5,NA,0
"E9195",5,NA,0
"E9196",5,NA,0
"E9197",5,NA,0
"E9198",5,NA,0
"E9199",5,NA,0
"E920",0,NA,0
"E9200",0,NA,0
"E9201",0,NA,0
"E9202",0,NA,0
"E9203",0,NA,0
"E9204",0,NA,0
