"dx","severity","issbr"
"S06314",1,"Head/Neck"
"S06315",1,"Head/Neck"
"S06316",5,"Head/Neck"
"S06317",5,"Head/Neck"
"S06318",5,"Head/Neck"
"S06319",1,"Head/Neck"
"S06320",1,"Head/Neck"
"S06321",2,"Head/Neck"
"S06322",1,"Head/Neck"
"S06323",1,"Head/Neck"
"S06324",1,"Head/Neck"
"S06325",1,"Head/Neck"
"S06326",4,"Head/Neck"
"S06327",5,"Head/Neck"
"S06328",5,"Head/Neck"
"S06329",2,"Head/Neck"
"S06330",2,"Head/Neck"
"S06331",1,"Head/Neck"
"S06332",1,"Head/Neck"
"S06333",2,"Head/Neck"
"S06334",3,"Head/Neck"
"S06335",1,"Head/Neck"
"S06336",5,"Head/Neck"
"S06337",5,"Head/Neck"
"S06338",5,"Head/Neck"
"S06339",3,"Head/Neck"
"S06340",3,"Head/Neck"
"S06341",1,"Head/Neck"
"S06342",1,"Head/Neck"
"S06343",3,"Head/Neck"
"S06344",2,"Head/Neck"
"S06345",5,"Head/Neck"
"S06346",3,"Head/Neck"
"S06347",5,"Head/Neck"
"S06348",5,"Head/Neck"
"S06349",3,"Head/Neck"
"S06350",2,"Head/Neck"
"S06351",1,"Head/Neck"
"S06352",4,"Head/Neck"
"S06353",1,"Head/Neck"
"S06354",5,"Head/Neck"
"S06355",1,"Head/Neck"
"S06356",3,"Head/Neck"
"S06357",5,"Head/Neck"
"S06358",5,"Head/Neck"
"S06359",2,"Head/Neck"
"S06360",3,"Head/Neck"
"S06361",2,"Head/Neck"
"S06362",3,"Head/Neck"
"S06363",5,"Head/Neck"
"S06364",3,"Head/Neck"
"S06365",5,"Head/Neck"
"S06366",5,"Head/Neck"
"S06367",5,"Head/Neck"
"S06368",5,"Head/Neck"
"S06369",4,"Head/Neck"
"S06370",3,"Head/Neck"
"S06371",3,"Head/Neck"
"S06373",3,"Head/Neck"
"S06374",1,"Head/Neck"
"S06375",1,"Head/Neck"
"S06376",2,"Head/Neck"
"S06377",5,"Head/Neck"
"S06378",6,"Head/Neck"
"S06379",3,"Head/Neck"
"S06380",4,"Head/Neck"
"S06381",2,"Head/Neck"
"S06382",5,"Head/Neck"
"S06383",5,"Head/Neck"
"S06384",1,"Head/Neck"
"S06385",2,"Head/Neck"
"S06386",5,"Head/Neck"
"S06387",5,"Head/Neck"
"S06388",5,"Head/Neck"
"S06389",5,"Head/Neck"
"S064",2,"Head/Neck"
"S065",4,"Head/Neck"
"S066",3,"Head/Neck"
"S06810",1,"Head/Neck"
"S06811",1,"Head/Neck"
"S06816",4,"Head/Neck"
"S06817",5,"Head/Neck"
"S06818",3,"Head/Neck"
"S06819",2,"Head/Neck"
"S06820",1,"Head/Neck"
"S06821",1,"Head/Neck"
"S06824",1,"Head/Neck"
"S06826",5,"Head/Neck"
"S06829",2,"Head/Neck"
"S06890",3,"Head/Neck"
"S06891",1,"Head/Neck"
"S06892",1,"Head/Neck"
"S06893",5,"Head/Neck"
"S06894",2,"Head/Neck"
"S06895",3,"Head/Neck"
"S06896",5,"Head/Neck"
"S06897",5,"Head/Neck"
"S06898",5,"Head/Neck"
"S06899",3,"Head/Neck"
"S069",3,"Head/Neck"
"S070",5,"Face"
"S071",5,"Head/Neck"
"S078",1,"Head/Neck"
"S079",5,"Head/Neck"
"S080",1,"Head/Neck"
"S08111",1,"Face"
"S08112",1,"Face"
"S08119",1,"Face"
"S08121",1,"Face"
"S08122",1,"Face"
"S08129",1,"Face"
"S08811",4,"Face"
"S08812",1,"Face"
"S090",5,"Head/Neck"
"S0910",3,"Head/Neck"
"S0911",1,"Head/Neck"
"S0912",2,"Head/Neck"
"S0919",4,"Head/Neck"
"S0920",1,"Face"
"S0921",1,"Face"
"S0922",1,"Face"
"S09301",1,"Face"
"S09302",1,"Face"
"S09309",1,"Face"
"S09391",1,"Face"
"S09392",3,"Face"
"S09399",1,"Face"
"S098",2,"Head/Neck"
"S0990",2,"Head/Neck"
"S0991",1,"Face"
"S0992",1,"Face"
"S0993",3,"Face"
"S100",3,"Head/Neck"
"S1010",1,"Head/Neck"
"S1011",5,"Head/Neck"
"S1080",5,"Head/Neck"
"S1081",2,"Head/Neck"
"S1083",3,"Head/Neck"
"S1085",1,"Head/Neck"
"S1086",1,"Head/Neck"
"S1087",1,"Head/Neck"
"S1090",3,"Head/Neck"
"S1091",2,"Head/Neck"
"S1093",2,"Head/Neck"
"S1094",5,"Head/Neck"
"S11011",2,"Head/Neck"
"S11012",1,"Head/Neck"
"S11013",1,"Head/Neck"
"S11019",5,"Head/Neck"
"S11021",3,"Head/Neck"
"S11022",3,"Head/Neck"
"S11023",5,"Head/Neck"
"S11024",1,"Head/Neck"
"S11029",3,"Head/Neck"
"S11033",1,"Head/Neck"
"S1110",1,"Head/Neck"
"S1111",3,"Head/Neck"
"S1114",1,"Head/Neck"
"S1120",2,"Head/Neck"
"S1121",3,"Head/Neck"
"S1122",3,"Head/Neck"
"S1123",1,"Head/Neck"
"S1124",1,"Head/Neck"
"S1180",1,"Head/Neck"
"S1181",2,"Head/Neck"
"S1182",4,"Head/Neck"
"S1183",1,"Head/Neck"
"S1184",3,"Head/Neck"
"S1185",1,"Head/Neck"
"S1189",1,"Head/Neck"
"S1190",3,"Head/Neck"
"S1191",3,"Head/Neck"
"S1192",1,"Head/Neck"
"S1193",2,"Head/Neck"
"S1194",5,"Head/Neck"
"S1195",1,"Head/Neck"
"S12000",3,"Head/Neck"
"S12001",3,"Head/Neck"
"S1201",1,"Head/Neck"
"S1202",5,"Head/Neck"
"S12030",3,"Head/Neck"
"S12031",3,"Head/Neck"
"S12040",4,"Head/Neck"
"S12041",1,"Head/Neck"
"S12090",3,"Head/Neck"
"S12091",2,"Head/Neck"
"S12100",1,"Head/Neck"
"S12101",2,"Head/Neck"
"S12110",3,"Head/Neck"
"S12111",4,"Head/Neck"
"S12112",2,"Head/Neck"
"S12120",3,"Head/Neck"
"S12121",3,"Head/Neck"
"S12130",1,"Head/Neck"
"S1214",2,"Head/Neck"
"S12150",5,"Head/Neck"
"S12151",1,"Head/Neck"
"S12190",2,"Head/Neck"
"S12191",2,"Head/Neck"
"S12200",3,"Head/Neck"
"S12201",1,"Head/Neck"
"S12230",5,"Head/Neck"
"S12231",1,"Head/Neck"
"S1224",1,"Head/Neck"
"S12250",1,"Head/Neck"
"S12251",1,"Head/Neck"
"S12290",2,"Head/Neck"
"S12291",1,"Head/Neck"
"S12300",1,"Head/Neck"
"S12301",3,"Head/Neck"
"S12330",1,"Head/Neck"
"S12331",1,"Head/Neck"
"S12350",2,"Head/Neck"
"S12351",1,"Head/Neck"
"S12390",2,"Head/Neck"
"S12391",2,"Head/Neck"
"S12400",2,"Head/Neck"
"S12401",1,"Head/Neck"
"S12430",5,"Head/Neck"
"S12431",1,"Head/Neck"
"S1244",1,"Head/Neck"
"S12450",1,"Head/Neck"
"S12451",1,"Head/Neck"
"S12490",1,"Head/Neck"
"S12491",1,"Head/Neck"
"S12500",1,"Head/Neck"
"S12501",1,"Head/Neck"
"S12530",3,"Head/Neck"
"S12531",1,"Head/Neck"
"S1254",1,"Head/Neck"
"S12550",1,"Head/Neck"
"S12551",3,"Head/Neck"
"S12590",2,"Head/Neck"
"S12591",1,"Head/Neck"
"S12600",2,"Head/Neck"
"S12601",1,"Head/Neck"
"S12630",3,"Head/Neck"
"S12631",1,"Head/Neck"
"S1264",1,"Head/Neck"
"S12650",1,"Head/Neck"
"S12651",1,"Head/Neck"
"S12690",2,"Head/Neck"
"S12691",2,"Head/Neck"
"S128",3,"Head/Neck"
"S129",2,"Head/Neck"
"S130",1,"Head/Neck"
"S13100",3,"Head/Neck"
"S13101",3,"Head/Neck"
"S13110",3,"Head/Neck"
"S13111",4,"Head/Neck"
"S13120",2,"Head/Neck"
"S13121",3,"Head/Neck"
"S13130",3,"Head/Neck"
"S13131",1,"Head/Neck"
"S13140",2,"Head/Neck"
"S13141",1,"Head/Neck"
"S13150",1,"Head/Neck"
"S13151",1,"Head/Neck"
"S13160",1,"Head/Neck"
"S13161",1,"Head/Neck"
"S13170",1,"Head/Neck"
"S13171",1,"Head/Neck"
"S13180",1,"Head/Neck"
"S13181",3,"Head/Neck"
"S1320",1,"Head/Neck"
"S1329",3,"Head/Neck"
"S134",1,"Head/Neck"
"S135",1,"Head/Neck"
"S138",1,"Head/Neck"
"S139",1,"Head/Neck"
"S140",2,"Head/Neck"
"S14101",2,"Head/Neck"
"S14102",4,"Head/Neck"
"S14103",1,"Head/Neck"
"S14104",2,"Head/Neck"
"S14105",1,"Head/Neck"
"S14106",2,"Head/Neck"
"S14107",3,"Head/Neck"
"S14108",2,"Head/Neck"
"S14109",1,"Head/Neck"
"S14111",5,"Head/Neck"
"S14112",4,"Head/Neck"
"S14113",5,"Head/Neck"
"S14114",5,"Head/Neck"
"S14115",4,"Head/Neck"
"S14116",5,"Head/Neck"
"S14117",2,"Head/Neck"
"S14118",5,"Head/Neck"
"S14119",5,"Head/Neck"
"S14121",3,"Head/Neck"
"S14122",5,"Head/Neck"
"S14123",1,"Head/Neck"
"S14124",1,"Head/Neck"
"S14125",1,"Head/Neck"
"S14126",3,"Head/Neck"
"S14127",1,"Head/Neck"
"S14128",1,"Head/Neck"
"S14129",1,"Head/Neck"
"S14132",1,"Head/Neck"
"S14133",3,"Head/Neck"
"S14134",1,"Head/Neck"
"S14135",1,"Head/Neck"
"S14136",1,"Head/Neck"
"S14137",3,"Head/Neck"
"S14141",1,"Head/Neck"
"S14142",1,"Head/Neck"
"S14143",1,"Head/Neck"
"S14145",1,"Head/Neck"
"S14146",1,"Head/Neck"
"S14149",3,"Head/Neck"
"S14151",2,"Head/Neck"
"S14152",1,"Head/Neck"
"S14153",1,"Head/Neck"
"S14154",1,"Head/Neck"
"S14155",1,"Head/Neck"
"S14156",1,"Head/Neck"
"S14157",1,"Head/Neck"
"S14158",1,"Head/Neck"
"S14159",4,"Head/Neck"
"S142",1,"Head/Neck"
"S143",1,"Extremities"
"S144",1,"Head/Neck"
"S145",1,"Head/Neck"
"S148",2,"Head/Neck"
"S149",1,"Head/Neck"
"S15001",5,"Head/Neck"
"S15002",4,"Head/Neck"
"S15009",4,"Head/Neck"
"S15011",1,"Head/Neck"
"S15012",1,"Head/Neck"
"S15019",1,"Head/Neck"
"S15021",4,"Head/Neck"
"S15022",5,"Head/Neck"
"S15029",5,"Head/Neck"
"S15091",2,"Head/Neck"
"S15092",4,"Head/Neck"
"S15099",1,"Head/Neck"
"S15101",2,"Head/Neck"
"S15102",2,"Head/Neck"
"S15109",4,"Head/Neck"
"S15111",3,"Head/Neck"
"S15112",1,"Head/Neck"
"S15119",5,"Head/Neck"
"S15121",2,"Head/Neck"
"S15122",1,"Head/Neck"
