dx,icd_10,issbr,hmp,hma,sev,icdn
S01.552A,S01.552,Face,0,0.0625,1,16
S01.80XA,S01.80,Head/Neck,0.101960786,0.077419356,3,465
S01.81XA,S01.81,Head/Neck,0.036572054,0.041440412,2,3499
S01.82XA,S01.82,Head/Neck,0,0.045454547,1,88
S01.83XA,S01.83,Head/Neck,0.055555556,0.129032254,3,31
S01.84XA,S01.84,Head/Neck,0.333333343,0.333333343,5,15
S01.85XA,S01.85,Head/Neck,0,0.037037037,1,27
S01.90XA,S01.90,Head/Neck,0.270270258,0.272727281,5,55
S01.91XA,S01.91,Head/Neck,0.022222223,0.043478262,1,138
S01.92XA,S01.92,Head/Neck,0.333333343,0.5,5,6
S01.93XA,S01.93,Head/Neck,0.166666672,0.222222224,4,9
S01.94XA,S01.94,Head/Neck,0.75,0.75,5,4
S01.95XA,S01.95,Head/Neck,0,1,5,1
S02.0XXA,S02.0,Head/Neck,0.081406109,0.099469498,3,2262
S02.10XA,S02.10,Head/Neck,0.094036698,0.124137931,4,1015
S02.110A,S02.110,Head/Neck,0.157894731,0.137931034,4,29
S02.111A,S02.111,Head/Neck,0,0,1,13
S02.112A,S02.112,Head/Neck,0.285714298,0.173913047,5,23
S02.113A,S02.113,Head/Neck,0.072164945,0.112903222,3,186
S02.118A,S02.118,Head/Neck,0.060975611,0.122807018,3,171
S02.119A,S02.119,Head/Neck,0.128000006,0.104803495,4,229
S02.19XA,S02.19,Head/Neck,0.086419754,0.115299337,3,1353
S02.2XXA,S02.2,Face,0.039003249,0.044374008,2,3155
S02.3XXA,S02.3,Face,0.028571429,0.033994336,1,1765
S02.400A,S02.400,Face,0.07692308,0.03125,3,64
S02.401A,S02.401,Face,0.050847456,0.057885412,2,1693
S02.402A,S02.402,Face,0.056451611,0.072474375,2,1366
S02.411A,S02.411,Face,0,0.008064516,1,124
S02.412A,S02.412,Face,0.083333336,0.06779661,3,118
S02.413A,S02.413,Face,0.07692308,0.103448279,3,116
S02.42XA,S02.42,Face,0,0.007936508,1,126
S02.5XXA,S02.5,Face,0.036144577,0.034907598,2,487
S02.600A,S02.600,Face,0.015625,0.050314464,1,159
S02.609A,S02.609,Face,0.03508772,0.134969324,2,163
S02.61XA,S02.61,Face,0.025974026,0.060498219,2,281
S02.62XA,S02.62,Face,0.028571429,0.01980198,1,101
S02.63XA,S02.63,Face,0,0.017857144,1,56
S02.64XA,S02.64,Face,0,0.049327355,1,223
S02.65XA,S02.65,Face,0,0.015209125,1,263
S02.66XA,S02.66,Face,0,0.022421524,1,223
S02.67XA,S02.67,Face,0,0.016949153,1,59
S02.69XA,S02.69,Face,0,0.06122449,1,147
S02.8XXA,S02.8,Head/Neck,0.06936416,0.061941251,3,1566
S02.91XA,S02.91,Head/Neck,0.131147534,0.116438359,4,146
S02.92XA,S02.92,Face,0.163636357,0.085000001,4,400
S03.0XXA,S03.0,Face,0.0625,0.119999997,3,100
S03.1XXA,S03.1,Face,0,0,1,1
S03.2XXA,S03.2,Face,0,0.025641026,1,117
S03.4XXA,S03.4,Face,0,0.222222224,2,18
S03.8XXA,S03.8,Head/Neck,0,0,1,7
S04.011A,S04.011,Face,0,0.150000006,2,20
S04.012A,S04.012,Face,1,0.095238097,5,21
S04.019A,S04.019,Face,0.5,0.200000003,5,10
S04.032A,S04.032,Head/Neck,0,0,1,1
S04.10XA,S04.10,Head/Neck,0,0,1,1
S04.11XA,S04.11,Head/Neck,0,0,1,6
S04.12XA,S04.12,Head/Neck,0,0.142857149,1,7
S04.21XA,S04.21,Head/Neck,0,0,1,2
S04.31XA,S04.31,Head/Neck,0,0,1,3
S04.32XA,S04.32,Head/Neck,0,0,1,9
S04.40XA,S04.40,Head/Neck,0,0,1,2
S04.41XA,S04.41,Head/Neck,0,0,1,8
S04.42XA,S04.42,Head/Neck,0,0,1,5
S04.50XA,S04.50,Head/Neck,0,0,1,14
S04.51XA,S04.51,Head/Neck,0,0,1,27
S04.52XA,S04.52,Head/Neck,0,0.0625,1,16
S04.60XA,S04.60,Head/Neck,0,0.5,4,2
S04.62XA,S04.62,Head/Neck,0,0,1,1
S04.819A,S04.819,Head/Neck,0,1,5,1
S04.891A,S04.891,Head/Neck,0,0,1,3
S04.892A,S04.892,Head/Neck,0,0,1,1
S04.899A,S04.899,Head/Neck,0,0.25,2,4
S04.9XXA,S04.9,Head/Neck,0,0,1,5
S05.00XA,S05.00,Face,0.045454547,0.033898305,2,59
S05.01XA,S05.01,Face,0,0.030303031,1,132
S05.02XA,S05.02,Face,0.034482758,0.024193548,2,124
S05.10XA,S05.10,Face,0.057142857,0.081081077,3,111
S05.11XA,S05.11,Face,0.061538462,0.05172414,2,290
S05.12XA,S05.12,Face,0.033333335,0.05185185,2,270
S05.20XA,S05.20,Face,0,0.200000003,2,10
S05.21XA,S05.21,Face,0,0.046153847,1,65
S05.22XA,S05.22,Face,0.057142857,0.044117648,2,68
S05.30XA,S05.30,Face,0.050000001,0.065573767,2,61
S05.31XA,S05.31,Face,0.03846154,0.018181818,2,55
S05.32XA,S05.32,Face,0,0.015384615,1,65
S05.40XA,S05.40,Face,0,0.176470593,2,17
S05.41XA,S05.41,Face,0,0.041666668,1,24
S05.42XA,S05.42,Face,0,0,1,21
S05.50XA,S05.50,Face,0,0,1,15
S05.51XA,S05.51,Face,0,0.06666667,1,15
S05.52XA,S05.52,Face,0,0,1,9
S05.60XA,S05.60,Face,0,0,1,2
S05.61XA,S05.61,Face,0,0,1,5
S05.62XA,S05.62,Face,0,0,1,1
S05.70XA,S05.70,Face,0,0.25,2,4
S05.71XA,S05.71,Face,0,0.142857149,1,7
S05.72XA,S05.72,Face,1,0.444444448,5,9
S05.8X1A,S05.8,Face,0,0.046511628,1,86
S05.8X2A,S05.8,Face,0,0.046511628,1,86
S05.8X9A,S05.8,Face,0,0.046511628,1,86
S05.90XA,S05.90,Face,0.075471699,0.057971016,3,207
S05.91XA,S05.91,Face,0.07692308,0.125,3,56
S05.92XA,S05.92,Face,0.142857149,0.067567565,4,74
S06.0X0A,S06.0,Head/Neck,0.010374379,0.011486331,1,8706
S06.0X1A,S06.0,Head/Neck,0.010374379,0.011486331,1,8706
S06.0X2A,S06.0,Head/Neck,0.010374379,0.011486331,1,8706
S06.0X3A,S06.0,Head/Neck,0.010374379,0.011486331,1,8706
S06.0X4A,S06.0,Head/Neck,0.010374379,0.011486331,1,8706
S06.0X5A,S06.0,Head/Neck,0.010374379,0.011486331,1,8706
S06.0X6A,S06.0,Head/Neck,0.010374379,0.011486331,1,8706
S06.0X7A,S06.0,Head/Neck,0.010374379,0.011486331,1,8706
S06.0X8A,S06.0,Head/Neck,0.010374379,0.011486331,1,8706
S06.0X9A,S06.0,Head/Neck,0.010374379,0.011486331,1,8706
S06.1X0A,S06.1,Head/Neck,0.439759046,0.400611609,5,654
S06.1X1A,S06.1,Head/Neck,0.439759046,0.400611609,5,654
S06.1X2A,S06.1,Head/Neck,0.439759046,0.400611609,5,654
S06.1X3A,S06.1,Head/Neck,0.439759046,0.400611609,5,654
S06.1X4A,S06.1,Head/Neck,0.439759046,0.400611609,5,654
S06.1X5A,S06.1,Head/Neck,0.439759046,0.400611609,5,654
S06.1X6A,S06.1,Head/Neck,0.439759046,0.400611609,5,654
S06.1X7A,S06.1,Head/Neck,0.439759046,0.400611609,5,654
S06.1X8A,S06.1,Head/Neck,0.439759046,0.400611609,5,654
S06.1X9A,S06.1,Head/Neck,0.439759046,0.400611609,5,654
S06.2X0A,S06.2,Head/Neck,0.355072469,0.298828125,5,512
S06.2X1A,S06.2,Head/Neck,0.355072469,0.298828125,5,512
S06.2X2A,S06.2,Head/Neck,0.355072469,0.298828125,5,512
S06.2X3A,S06.2,Head/Neck,0.355072469,0.298828125,5,512
S06.2X4A,S06.2,Head/Neck,0.355072469,0.298828125,5,512
S06.2X5A,S06.2,Head/Neck,0.355072469,0.298828125,5,512
S06.2X6A,S06.2,Head/Neck,0.355072469,0.298828125,5,512
S06.2X7A,S06.2,Head/Neck,0.355072469,0.298828125,5,512
S06.2X8A,S06.2,Head/Neck,0.355072469,0.298828125,5,512
S06.2X9A,S06.2,Head/Neck,0.355072469,0.298828125,5,512
S06.300A,S06.300,Head/Neck,0.07692308,0.048780486,3,41
S06.301A,S06.301,Head/Neck,0,0,1,19
S06.303A,S06.303,Head/Neck,0,0,1,1
S06.304A,S06.304,Head/Neck,0,0,1,1
S06.305A,S06.305,Head/Neck,1,1,6,1
S06.306A,S06.306,Head/Neck,0,0.200000003,2,5
S06.307A,S06.307,Head/Neck,1,0.777777791,5,9
S06.308A,S06.308,Head/Neck,1,1,6,3
S06.309A,S06.309,Head/Neck,0,0.130434781,1,23
S06.310A,S06.310,Head/Neck,0.018181818,0.046875,1,192
S06.311A,S06.311,Head/Neck,0.050000001,0.043478262,2,92
S06.312A,S06.312,Head/Neck,0,0,1,12
S06.313A,S06.313,Head/Neck,0,0.25,2,8
S06.314A,S06.314,Head/Neck,0,0,1,10
S06.315A,S06.315,Head/Neck,0,0,1,15
S06.316A,S06.316,Head/Neck,1,0.600000024,5,15
S06.317A,S06.317,Head/Neck,1,1,6,39
S06.318A,S06.318,Head/Neck,0,1,5,6
S06.319A,S06.319,Head/Neck,0,0.064102568,1,156
S06.320A,S06.320,Head/Neck,0,0.068322979,1,161
S06.321A,S06.321,Head/Neck,0,0.051948052,1,77
S06.322A,S06.322,Head/Neck,0,0,1,16
S06.323A,S06.323,Head/Neck,0,0,1,5
S06.324A,S06.324,Head/Neck,0,0,1,8
S06.325A,S06.325,Head/Neck,0,0,1,13
S06.326A,S06.326,Head/Neck,0,0.400000006,3,15
S06.327A,S06.327,Head/Neck,1,0.972222209,5,36
S06.328A,S06.328,Head/Neck,1,1,6,8
S06.329A,S06.329,Head/Neck,0,0.111801244,1,161
S06.330A,S06.330,Head/Neck,0.025974026,0.064257026,2,249
S06.331A,S06.331,Head/Neck,0,0.043795619,1,137
S06.332A,S06.332,Head/Neck,0,0,1,8
S06.333A,S06.333,Head/Neck,0,0.083333336,1,12
S06.334A,S06.334,Head/Neck,0,0.444444448,3,9
S06.335A,S06.335,Head/Neck,0,0.06666667,1,15
S06.336A,S06.336,Head/Neck,0.666666687,0.471698105,5,53
S06.337A,S06.337,Head/Neck,1,0.981481493,5,54
S06.338A,S06.338,Head/Neck,1,1,6,11
S06.339A,S06.339,Head/Neck,0.157407403,0.127853885,4,438
S06.340A,S06.340,Head/Neck,0.089552239,0.067632847,3,207
S06.341A,S06.341,Head/Neck,0,0.02739726,1,73
S06.342A,S06.342,Head/Neck,0,0,1,7
S06.343A,S06.343,Head/Neck,0.5,0.090909094,5,11
S06.344A,S06.344,Head/Neck,0,0.25,2,8
S06.345A,S06.345,Head/Neck,0.5,0.25,5,4
S06.346A,S06.346,Head/Neck,0,0.368421048,3,19
S06.347A,S06.347,Head/Neck,1,0.973684192,5,38
S06.348A,S06.348,Head/Neck,0,0.888888896,4,9
S06.349A,S06.349,Head/Neck,0.121951222,0.077777781,4,180
S06.350A,S06.350,Head/Neck,0.030303031,0.048913043,2,184
S06.351A,S06.351,Head/Neck,0,0.033333335,1,60
S06.352A,S06.352,Head/Neck,0,0.200000003,2,5
S06.353A,S06.353,Head/Neck,0,0,1,5
S06.354A,S06.354,Head/Neck,1,0.5,5,4
S06.355A,S06.355,Head/Neck,0,0,1,7
S06.356A,S06.356,Head/Neck,0,0.142857149,1,14
S06.357A,S06.357,Head/Neck,1,0.9375,5,32
S06.358A,S06.358,Head/Neck,1,0.833333313,5,6
S06.359A,S06.359,Head/Neck,0.074074075,0.086956523,3,161
S06.360A,S06.360,Head/Neck,0.089887641,0.102345414,3,469
S06.361A,S06.361,Head/Neck,0.055555556,0.071428575,2,70
S06.362A,S06.362,Head/Neck,0.25,0.057142857,5,35
S06.363A,S06.363,Head/Neck,0.5,0.571428597,5,7
S06.364A,S06.364,Head/Neck,0,0.200000003,2,15
S06.365A,S06.365,Head/Neck,0,0.375,3,8
S06.366A,S06.366,Head/Neck,0.666666687,0.423076928,5,26
S06.367A,S06.367,Head/Neck,0.933333337,0.948051929,5,77
S06.368A,S06.368,Head/Neck,1,1,6,22
S06.369A,S06.369,Head/Neck,0.18571429,0.173669472,4,357
