dx,icd_10,issbr,hmp,hma,sev,icdn
S31.631A,S31.631,Abdomen,0,0.083333336,1,12
S31.632A,S31.632,Abdomen,0,0.142857149,1,7
S31.633A,S31.633,Abdomen,0.166666672,0.400000006,5,10
S31.634A,S31.634,Abdomen,0,0.083333336,1,12
S31.635A,S31.635,Abdomen,0,0,1,3
S31.639A,S31.639,Abdomen,0.125,0.142857149,4,21
S31.640A,S31.640,Abdomen,0,0.142857149,1,7
S31.641A,S31.641,Abdomen,0,0.142857149,1,14
S31.643A,S31.643,Abdomen,0,0.200000003,2,10
S31.644A,S31.644,Abdomen,0,0.090909094,1,11
S31.645A,S31.645,Abdomen,0,0,1,3
S31.649A,S31.649,Abdomen,0,0.142857149,1,7
S31.801A,S31.801,Abdomen,0,0.083333336,1,12
S31.802A,S31.802,Abdomen,0,0,1,5
S31.803A,S31.803,Abdomen,0.333333343,0.142857149,5,7
S31.804A,S31.804,Abdomen,0,0,1,5
S31.809A,S31.809,Abdomen,0,0.179487184,2,39
S31.811A,S31.811,Abdomen,0,0.07692308,1,26
S31.812A,S31.812,Abdomen,0,0.111111112,1,9
S31.813A,S31.813,Abdomen,0,0,1,19
S31.814A,S31.814,Abdomen,0,0.13333334,1,15
S31.815A,S31.815,Abdomen,0,0,1,2
S31.819A,S31.819,Abdomen,0,0,1,13
S31.821A,S31.821,Abdomen,0,0.214285716,2,28
S31.822A,S31.822,Abdomen,0,0.071428575,1,14
S31.823A,S31.823,Abdomen,0,0.07692308,1,26
S31.824A,S31.824,Abdomen,0,0.142857149,1,21
S31.825A,S31.825,Abdomen,0,0,1,1
S31.829A,S31.829,Abdomen,0,0.041666668,1,24
S31.831A,S31.831,Abdomen,0,0.043478262,1,23
S31.832A,S31.832,Abdomen,0,0.5,4,2
S31.839A,S31.839,Abdomen,0,1,5,1
S32.000A,S32.000,Abdomen,0,0.057142857,1,35
S32.001A,S32.001,Abdomen,0,0.068965517,1,29
S32.002A,S32.002,Abdomen,0,0.166666672,2,6
S32.008A,S32.008,Abdomen,0,0.09375,1,64
S32.009A,S32.009,Abdomen,0.010869565,0.046153847,1,650
S32.010A,S32.010,Abdomen,0.019900497,0.024498885,1,449
S32.011A,S32.011,Abdomen,0,0.028268551,1,283
S32.012A,S32.012,Abdomen,0,0,1,86
S32.018A,S32.018,Abdomen,0,0.046116505,1,824
S32.019A,S32.019,Abdomen,0.017391304,0.032482598,1,431
S32.020A,S32.020,Abdomen,0,0.024793388,1,242
S32.021A,S32.021,Abdomen,0,0.035714287,1,140
S32.022A,S32.022,Abdomen,0,0.027027028,1,37
S32.028A,S32.028,Abdomen,0.011494253,0.064027943,1,859
S32.029A,S32.029,Abdomen,0.017857144,0.045454547,1,396
S32.030A,S32.030,Abdomen,0,0.018987341,1,158
S32.031A,S32.031,Abdomen,0,0.031578947,1,95
S32.032A,S32.032,Abdomen,0,0.041666668,1,24
S32.038A,S32.038,Abdomen,0.020833334,0.061813187,1,728
S32.039A,S32.039,Abdomen,0,0.023738872,1,337
S32.040A,S32.040,Abdomen,0,0.053097345,1,113
S32.041A,S32.041,Abdomen,0.055555556,0.047058824,2,85
S32.042A,S32.042,Abdomen,0,0,1,16
S32.048A,S32.048,Abdomen,0.03125,0.056603774,2,583
S32.049A,S32.049,Abdomen,0.047619049,0.046931408,2,277
S32.050A,S32.050,Abdomen,0,0.014925373,1,67
S32.051A,S32.051,Abdomen,0,0.146341458,1,41
S32.052A,S32.052,Abdomen,0,0,1,12
S32.058A,S32.058,Abdomen,0,0.068292685,1,410
S32.059A,S32.059,Abdomen,0,0.055248618,1,181
S32.10XA,S32.10,General,0.013824885,0.068965517,1,725
S32.110A,S32.110,General,0,0.046783626,1,171
S32.111A,S32.111,General,0,0.071428575,1,70
S32.112A,S32.112,General,0,0.285714298,2,7
S32.119A,S32.119,General,0,0.024096385,1,83
S32.120A,S32.120,General,0,0,1,38
S32.121A,S32.121,General,0,0,1,37
S32.122A,S32.122,General,0,0,1,3
S32.129A,S32.129,General,0,0,1,28
S32.130A,S32.130,General,0,0,1,10
S32.131A,S32.131,General,0,0.07692308,1,13
S32.132A,S32.132,General,0,0.333333343,3,3
S32.139A,S32.139,General,0,0.166666672,2,6
S32.14XA,S32.14,General,0,0,1,31
S32.15XA,S32.15,General,0,0,1,9
S32.16XA,S32.16,General,0,0,1,7
S32.17XA,S32.17,General,0,0,1,2
S32.19XA,S32.19,General,0.014084507,0.057268724,1,227
S32.2XXA,S32.2,General,0,0.102803737,1,214
S32.301A,S32.301,Extremities,0.028571429,0.05785124,2,121
S32.302A,S32.302,Extremities,0,0.073394492,1,109
S32.309A,S32.309,Extremities,0.090909094,0.123456791,3,81
S32.311A,S32.311,Extremities,0,0.079999998,1,25
S32.312A,S32.312,Extremities,0,0,1,13
S32.313A,S32.313,Extremities,0,0,1,1
S32.314A,S32.314,Extremities,0,0.125,1,8
S32.315A,S32.315,Extremities,0,0.117647059,1,17
S32.391A,S32.391,Extremities,0.034482758,0.114503816,2,131
S32.392A,S32.392,Extremities,0,0.109090909,1,110
S32.399A,S32.399,Extremities,0,0.5,4,2
S32.401A,S32.401,Extremities,0,0.034482758,1,232
S32.402A,S32.402,Extremities,0,0.062222224,1,225
S32.409A,S32.409,Extremities,0,0.062256809,1,257
S32.411A,S32.411,Extremities,0,0.073170729,1,82
S32.412A,S32.412,Extremities,0,0.023255814,1,86
S32.413A,S32.413,Extremities,0,0,1,3
S32.414A,S32.414,Extremities,0,0.069444448,1,72
S32.415A,S32.415,Extremities,0,0.042857144,1,70
S32.416A,S32.416,Extremities,0,1,5,1
S32.421A,S32.421,Extremities,0,0.013422819,1,149
S32.422A,S32.422,Extremities,0,0.026086956,1,115
S32.423A,S32.423,Extremities,0,0,1,2
S32.424A,S32.424,Extremities,0,0,1,29
S32.425A,S32.425,Extremities,0,0.037037037,1,27
S32.426A,S32.426,Extremities,0,0,1,2
S32.431A,S32.431,Extremities,0,0.043956045,1,91
S32.432A,S32.432,Extremities,0,0.086021505,1,93
S32.433A,S32.433,Extremities,0,0.095238097,1,42
S32.434A,S32.434,Extremities,0,0.074074075,1,54
S32.435A,S32.435,Extremities,0.055555556,0.109090909,3,55
S32.436A,S32.436,Extremities,0.333333343,0.166666672,5,6
S32.441A,S32.441,Extremities,0,0.02,1,50
S32.442A,S32.442,Extremities,0,0.05882353,1,51
S32.443A,S32.443,Extremities,0,0,1,8
S32.444A,S32.444,Extremities,0,0.0625,1,16
S32.445A,S32.445,Extremities,0,0,1,13
S32.446A,S32.446,Extremities,0,0,1,1
S32.451A,S32.451,Extremities,0,0,1,33
S32.452A,S32.452,Extremities,0,0,1,23
S32.453A,S32.453,Extremities,0,0,1,7
S32.454A,S32.454,Extremities,0,0.090909094,1,11
S32.455A,S32.455,Extremities,0,0,1,13
S32.456A,S32.456,Extremities,0,0,1,1
S32.461A,S32.461,Extremities,0,0,1,50
S32.462A,S32.462,Extremities,0,0,1,31
S32.464A,S32.464,Extremities,0.25,0.111111112,5,9
S32.465A,S32.465,Extremities,0,0,1,7
S32.471A,S32.471,Extremities,0,0.111111112,1,18
S32.472A,S32.472,Extremities,0,0,1,15
S32.473A,S32.473,Extremities,0,0,1,1
S32.474A,S32.474,Extremities,0,0,1,11
S32.475A,S32.475,Extremities,0,0,1,14
S32.476A,S32.476,Extremities,0,0,1,1
S32.481A,S32.481,Extremities,0,0,1,8
S32.482A,S32.482,Extremities,1,0.333333343,5,3
S32.484A,S32.484,Extremities,0,0,1,4
S32.485A,S32.485,Extremities,0,0,1,2
S32.491A,S32.491,Extremities,0,0.041666668,1,72
S32.492A,S32.492,Extremities,0,0.014492754,1,69
S32.499A,S32.499,Extremities,0,0.06666667,1,15
S32.501A,S32.501,Extremities,0.031746034,0.057142857,2,245
S32.502A,S32.502,Extremities,0.020408163,0.042452831,1,212
S32.509A,S32.509,Extremities,0,0.075471699,1,318
S32.511A,S32.511,Extremities,0.024,0.080614202,2,521
S32.512A,S32.512,Extremities,0.017857144,0.07707911,1,493
S32.519A,S32.519,Extremities,0.166666672,0.181818187,4,44
S32.591A,S32.591,Extremities,0.014184397,0.063202247,1,712
S32.592A,S32.592,Extremities,0.015384615,0.051428571,1,700
S32.599A,S32.599,Extremities,0,0.125,1,64
S32.601A,S32.601,Extremities,0,0.157894731,2,38
S32.602A,S32.602,Extremities,0,0.117647059,1,51
S32.609A,S32.609,Extremities,0,0,1,16
S32.611A,S32.611,Extremities,0,0,1,3
S32.612A,S32.612,Extremities,0,0,1,2
S32.614A,S32.614,Extremities,0,0,1,2
S32.615A,S32.615,Extremities,0,0,1,2
S32.616A,S32.616,Extremities,0,0,1,1
S32.691A,S32.691,Extremities,0,0.055555556,1,18
S32.692A,S32.692,Extremities,0,0.047619049,1,21
S32.699A,S32.699,Extremities,0,0,1,1
S32.810A,S32.810,Extremities,0.050847456,0.087837838,2,296
S32.811A,S32.811,Extremities,0.023809524,0.15209125,2,263
S32.82XA,S32.82,Extremities,0,0.070895523,1,268
S32.89XA,S32.89,Extremities,0,0.0625,1,112
S32.9XXA,S32.9,Abdomen,0,0.129518077,1,332
S33.0XXA,S33.0,Abdomen,0,0,1,8
S33.101A,S33.101,Abdomen,0,0,1,8
S33.111A,S33.111,Abdomen,0,0,1,7
S33.120A,S33.120,Abdomen,0,0,1,3
S33.121A,S33.121,Abdomen,0,0,1,10
S33.130A,S33.130,Abdomen,0,0,1,1
S33.131A,S33.131,Abdomen,0,0,1,11
S33.140A,S33.140,Abdomen,0,0,1,3
S33.141A,S33.141,Abdomen,0,0.05882353,1,17
S33.2XXA,S33.2,General,0,0.096000001,1,125
S33.30XA,S33.30,Abdomen,0,0,1,3
S33.39XA,S33.39,Abdomen,0,0,1,6
S33.4XXA,S33.4,Extremities,0,0.129032254,1,31
S33.5XXA,S33.5,Abdomen,0,0.005347594,1,374
S33.6XXA,S33.6,Extremities,0,0.142857149,1,7
S33.8XXA,S33.8,Abdomen,0,0.045454547,1,22
S33.9XXA,S33.9,Abdomen,0,0,1,25
S34.01XA,S34.01,Abdomen,0,0.047619049,1,21
S34.101A,S34.101,Abdomen,0,0,1,20
S34.102A,S34.102,Abdomen,0,0,1,10
S34.103A,S34.103,Abdomen,0,0.142857149,1,7
S34.104A,S34.104,Abdomen,0,0,1,6
S34.105A,S34.105,Abdomen,0,0,1,2
S34.109A,S34.109,Abdomen,0,0.027027028,1,37
S34.111A,S34.111,Abdomen,0.5,0.111111112,5,9
S34.112A,S34.112,Abdomen,0,0,1,1
S34.119A,S34.119,Abdomen,0,0,1,3
S34.121A,S34.121,Abdomen,0,0.166666672,2,6
S34.122A,S34.122,Abdomen,0,0,1,5
S34.123A,S34.123,Abdomen,0,0,1,6
S34.124A,S34.124,Abdomen,0,0.200000003,2,5
S34.125A,S34.125,Abdomen,0,0,1,1
S34.129A,S34.129,Abdomen,0,0,1,4
S34.139A,S34.139,General,0,0,1,6
S34.21XA,S34.21,Abdomen,0,0,1,14
S34.22XA,S34.22,General,0,0,1,1
S34.3XXA,S34.3,General,0,0,1,14
S34.4XXA,S34.4,Extremities,0,0,1,5
S34.5XXA,S34.5,Abdomen,0,0,1,5
S34.6XXA,S34.6,Abdomen,0,0,1,1
S34.8XXA,S34.8,Abdomen,0,0,1,2
S34.9XXA,S34.9,Abdomen,0,0,1,3
S35.00XA,S35.00,Abdomen,1,0.545454562,5,11
S35.01XA,S35.01,Abdomen,0.666666687,0.363636374,5,11
S35.02XA,S35.02,Abdomen,1,0.764705896,5,17
S35.09XA,S35.09,Abdomen,0,0,1,11
S35.10XA,S35.10,Abdomen,0,0.461538464,3,13
S35.11XA,S35.11,Abdomen,0,0.318181813,3,22
S35.12XA,S35.12,Abdomen,0.5,0.6875,5,32
S35.19XA,S35.19,Abdomen,0,0.5,4,2
S35.211A,S35.211,Abdomen,0,0,1,1
S35.212A,S35.212,Abdomen,0,0,1,1
S35.218A,S35.218,Abdomen,0,0,1,1
S35.219A,S35.219,Abdomen,0,0.5,4,2
S35.221A,S35.221,Abdomen,0,0.222222224,2,9
S35.222A,S35.222,Abdomen,0.666666687,0.444444448,5,9
S35.228A,S35.228,Abdomen,0,0,1,9
S35.229A,S35.229,Abdomen,0,0.333333343,3,6
S35.231A,S35.231,Abdomen,0,0,1,3
S35.232A,S35.232,Abdomen,0,0.285714298,2,7
S35.239A,S35.239,Abdomen,1,0.333333343,5,6
S35.291A,S35.291,Abdomen,0,0.071428575,1,14
S35.292A,S35.292,Abdomen,0,0.400000006,3,10
S35.298A,S35.298,Abdomen,0,0.166666672,2,6
S35.299A,S35.299,Abdomen,0,0.375,3,16
S35.311A,S35.311,Abdomen,0,0.5,4,12
S35.319A,S35.319,Abdomen,0,0.75,4,4
S35.321A,S35.321,Abdomen,0.333333343,0.363636374,5,11
S35.328A,S35.328,Abdomen,0,0,1,1
S35.329A,S35.329,Abdomen,0.5,0.333333343,5,3
S35.331A,S35.331,Abdomen,0,0.777777791,4,9
S35.339A,S35.339,Abdomen,0,0.333333343,3,6
S35.341A,S35.341,Abdomen,0,0.25,2,4
S35.348A,S35.348,Abdomen,0,0,1,1
S35.401A,S35.401,Abdomen,0,0.25,2,4
S35.402A,S35.402,Abdomen,0,0,1,3
S35.403A,S35.403,Abdomen,0,0,1,3
S35.404A,S35.404,Abdomen,0,0,1,1
S35.405A,S35.405,Abdomen,0,0,1,2
S35.406A,S35.406,Abdomen,0,0.666666687,4,3
S35.411A,S35.411,Abdomen,0,0.272727281,2,11
S35.412A,S35.412,Abdomen,0,0.266666681,2,15
S35.413A,S35.413,Abdomen,0,1,5,1
S35.414A,S35.414,Abdomen,0,0.428571433,3,7
S35.415A,S35.415,Abdomen,0,0.5,4,8
S35.416A,S35.416,Abdomen,0,0,1,1
S35.491A,S35.491,Abdomen,0,0,1,4
S35.492A,S35.492,Abdomen,0,0,1,2
S35.493A,S35.493,Abdomen,0,0,1,2
S35.494A,S35.494,Abdomen,0,0.25,2,4
S35.50XA,S35.50,Abdomen,0,0,1,2
S35.511A,S35.511,Abdomen,0.333333343,0.421052635,5,38
S35.512A,S35.512,Abdomen,0.166666672,0.3125,4,48
S35.513A,S35.513,Abdomen,0,0.214285716,2,28
S35.514A,S35.514,Abdomen,0.400000006,0.25,5,16
S35.515A,S35.515,Abdomen,0,0.206896558,2,29
S35.516A,S35.516,Abdomen,0.5,0.470588237,5,17
S35.531A,S35.531,Abdomen,0,1,5,1
S35.532A,S35.532,Abdomen,0,1,5,1
S35.59XA,S35.59,Abdomen,0,0,1,4
S35.8X1A,S35.8,Abdomen,0.06666667,0.176470593,3,85
S35.8X8A,S35.8,Abdomen,0.06666667,0.176470593,3,85
S35.8X9A,S35.8,Abdomen,0.06666667,0.176470593,3,85
S35.90XA,S35.90,Abdomen,0,0.444444448,3,9
S35.91XA,S35.91,Abdomen,0,0.5,4,4
S35.99XA,S35.99,Abdomen,0,0,1,2
S36.00XA,S36.00,Abdomen,0,0.05882353,1,68
S36.020A,S36.020,Abdomen,0,0.107142858,1,84
S36.021A,S36.021,Abdomen,0,0.02631579,1,38
S36.029A,S36.029,Abdomen,0,0.137500003,1,80
S36.030A,S36.030,Abdomen,0.00990099,0.074840762,1,628
S36.031A,S36.031,Abdomen,0.010309278,0.091900311,1,642
S36.032A,S36.032,Abdomen,0.046511628,0.145348832,3,344
S36.039A,S36.039,Abdomen,0,0.188405797,2,207
S36.09XA,S36.09,Abdomen,0,0.179487184,2,39
S36.112A,S36.112,Abdomen,0,0.122362867,1,237
S36.113A,S36.113,Abdomen,0,0.247838616,2,347
S36.114A,S36.114,Abdomen,0,0.084126987,1,630
S36.115A,S36.115,Abdomen,0.034482758,0.098236777,2,397
S36.116A,S36.116,Abdomen,0.028571429,0.210045666,3,438
S36.118A,S36.118,Abdomen,0,0.214285716,2,14
S36.119A,S36.119,Abdomen,0,0.185185179,2,27
S36.122A,S36.122,Abdomen,0,0.285714298,2,7
S36.123A,S36.123,Abdomen,0,0,1,13
S36.128A,S36.128,Abdomen,0,0,1,3
S36.129A,S36.129,Abdomen,0,0.25,2,4
S36.13XA,S36.13,Abdomen,0,0,1,6
S36.200A,S36.200,Abdomen,0,0.090909094,1,11
S36.201A,S36.201,Abdomen,0,0.333333343,3,3
S36.202A,S36.202,Abdomen,0,0,1,10
S36.209A,S36.209,Abdomen,0,0.321428567,3,28
S36.220A,S36.220,Abdomen,0,0.05882353,1,17
S36.221A,S36.221,Abdomen,0,0.5,4,8
S36.222A,S36.222,Abdomen,0,0.375,3,8
S36.229A,S36.229,Abdomen,0,0.322580636,3,31
S36.230A,S36.230,Abdomen,0,0.142857149,1,14
S36.231A,S36.231,Abdomen,0,0.142857149,1,7
S36.232A,S36.232,Abdomen,0,0.083333336,1,12
S36.239A,S36.239,Abdomen,0,0.416666657,3,12
S36.240A,S36.240,Abdomen,0,0,1,2
S36.241A,S36.241,Abdomen,0,0,1,1
S36.242A,S36.242,Abdomen,0,0.400000006,3,5
S36.249A,S36.249,Abdomen,0,0,1,4
S36.250A,S36.250,Abdomen,0,0.5,4,4
S36.251A,S36.251,Abdomen,0,0,1,3
S36.252A,S36.252,Abdomen,0,0,1,4
S36.259A,S36.259,Abdomen,0,0,1,1
S36.260A,S36.260,Abdomen,0,0.833333313,4,6
S36.261A,S36.261,Abdomen,0,0.444444448,3,9
S36.262A,S36.262,Abdomen,0,0.25,2,4
S36.269A,S36.269,Abdomen,0,0,1,1
S36.290A,S36.290,Abdomen,0,0,1,1
S36.291A,S36.291,Abdomen,0,0,1,1
S36.292A,S36.292,Abdomen,0,0.166666672,2,6
S36.299A,S36.299,Abdomen,0,0,1,2
S36.30XA,S36.30,Abdomen,0.200000003,0.322580636,5,31
S36.32XA,S36.32,Abdomen,0,0.333333343,3,9
S36.33XA,S36.33,Abdomen,0,0.243478253,2,115
S36.39XA,S36.39,Abdomen,0,0.272727281,2,22
S36.400A,S36.400,Abdomen,0,0.21875,2,32
S36.408A,S36.408,Abdomen,0.142857149,0.226190478,4,84
S36.409A,S36.409,Abdomen,0,0.040816326,1,49
S36.410A,S36.410,Abdomen,0,0,1,5
S36.418A,S36.418,Abdomen,0,0.363636374,3,11
S36.419A,S36.419,Abdomen,0,0,1,2
S36.420A,S36.420,Abdomen,0,0.224999994,2,40
S36.428A,S36.428,Abdomen,0,0.13333334,1,30
S36.429A,S36.429,Abdomen,0,0.391304344,3,23
S36.430A,S36.430,Abdomen,0,0.303030312,3,33
S36.438A,S36.438,Abdomen,0.016949153,0.072033897,1,236
S36.439A,S36.439,Abdomen,0,0.212500006,2,80
S36.490A,S36.490,Abdomen,0,0.125,1,8
S36.498A,S36.498,Abdomen,0,0.03125,1,32
S36.499A,S36.499,Abdomen,0,0.363636374,3,11
S36.500A,S36.500,Abdomen,1,0.230769232,5,26
S36.501A,S36.501,Abdomen,0,0.157894731,2,38
S36.502A,S36.502,Abdomen,0,0.13636364,1,22
S36.503A,S36.503,Abdomen,0.25,0.277777791,5,18
S36.508A,S36.508,Abdomen,0.5,0.142857149,5,7
S36.509A,S36.509,Abdomen,0,0.285714298,2,21
S36.510A,S36.510,Abdomen,0,0.600000024,4,5
S36.511A,S36.511,Abdomen,0,0,1,5
S36.512A,S36.512,Abdomen,0,0,1,2
S36.513A,S36.513,Abdomen,0,0,1,5
S36.519A,S36.519,Abdomen,0,0,1,1
S36.520A,S36.520,Abdomen,0,0.222222224,2,18
S36.521A,S36.521,Abdomen,0,0.272727281,2,22
S36.522A,S36.522,Abdomen,0,0.142857149,1,14
S36.523A,S36.523,Abdomen,0,0,1,8
S36.528A,S36.528,Abdomen,0,0.083333336,1,12
S36.529A,S36.529,Abdomen,0,0.304347813,3,23
S36.530A,S36.530,Abdomen,0,0.078947365,1,38
S36.531A,S36.531,Abdomen,1,0.135802463,5,81
S36.532A,S36.532,Abdomen,0,0.130434781,1,46
S36.533A,S36.533,Abdomen,0,0.132352948,1,68
S36.538A,S36.538,Abdomen,0,0.121212125,1,33
S36.539A,S36.539,Abdomen,0,0.146341458,1,41
S36.590A,S36.590,Abdomen,0,0.083333336,1,12
S36.591A,S36.591,Abdomen,0,0.125,1,16
S36.592A,S36.592,Abdomen,0,0.125,1,8
S36.593A,S36.593,Abdomen,0,0.25,2,8
S36.598A,S36.598,Abdomen,0,0.200000003,2,10
S36.599A,S36.599,Abdomen,0,0.5,4,2
S36.60XA,S36.60,Abdomen,0,0.0625,1,16
S36.61XA,S36.61,Abdomen,0,0,1,6
S36.62XA,S36.62,Abdomen,0,0.083333336,1,12
S36.63XA,S36.63,Abdomen,0,0.06779661,1,59
S36.69XA,S36.69,Abdomen,0,0,1,4
S36.81XA,S36.81,Abdomen,0,0.150684938,2,219
S36.892A,S36.892,Abdomen,0.032258064,0.128787875,2,396
S36.893A,S36.893,Abdomen,0,0.150289014,2,173
S36.898A,S36.898,Abdomen,0,0.110344827,1,145
S36.899A,S36.899,Abdomen,0,0.175097272,2,257
S36.90XA,S36.90,Abdomen,0,0.290322572,2,31
S36.92XA,S36.92,Abdomen,0,0,1,21
S36.93XA,S36.93,Abdomen,0,0,1,4
S36.99XA,S36.99,Abdomen,0.25,0.1875,5,16
S37.001A,S37.001,Abdomen,0,0.05882353,1,17
S37.002A,S37.002,Abdomen,0,0.25,2,12
S37.009A,S37.009,Abdomen,0.142857149,0.090909094,4,22
S37.011A,S37.011,Abdomen,0,0.018518519,1,108
S37.012A,S37.012,Abdomen,0,0.055555556,1,108
S37.019A,S37.019,Abdomen,0,0.063829787,1,47
S37.021A,S37.021,Abdomen,0,0.090909094,1,22
S37.022A,S37.022,Abdomen,0,0.03846154,1,26
S37.029A,S37.029,Abdomen,0,0.103448279,1,58
S37.031A,S37.031,Abdomen,0.166666672,0.200000003,4,70
S37.032A,S37.032,Abdomen,0,0.10958904,1,73
S37.039A,S37.039,Abdomen,0,0.05882353,1,51
S37.041A,S37.041,Abdomen,0,0.083333336,1,72
S37.042A,S37.042,Abdomen,0,0.074074075,1,54
S37.049A,S37.049,Abdomen,0,0,1,19
S37.051A,S37.051,Abdomen,0,0.077922076,1,77
S37.052A,S37.052,Abdomen,0,0.077777781,1,90
S37.059A,S37.059,Abdomen,0,0.07692308,1,26
S37.061A,S37.061,Abdomen,0,0.196078435,2,51
S37.062A,S37.062,Abdomen,0,0.180327863,2,61
S37.069A,S37.069,Abdomen,0,0.177777782,2,45
S37.091A,S37.091,Abdomen,0,0.200000003,2,10
S37.092A,S37.092,Abdomen,0,0.25,2,12
S37.099A,S37.099,Abdomen,0,0,1,1
S37.10XA,S37.10,Abdomen,0,0.272727281,2,11
S37.12XA,S37.12,Abdomen,0,0,1,3
S37.13XA,S37.13,Abdomen,0,0,1,7
S37.19XA,S37.19,Abdomen,0,0,1,2
S37.20XA,S37.20,Abdomen,0.166666672,0.173913047,4,23
S37.22XA,S37.22,Abdomen,0,0.260869563,2,23
S37.23XA,S37.23,Abdomen,0,0.179487184,2,78
S37.29XA,S37.29,Abdomen,0,0.118644066,1,59
S37.30XA,S37.30,Abdomen,0,0.083333336,1,48
S37.32XA,S37.32,Abdomen,0,0,1,7
S37.33XA,S37.33,Abdomen,0,0.054054055,1,37
S37.39XA,S37.39,Abdomen,0,0,1,17
S37.421A,S37.421,Abdomen,0,0,1,2
S37.431A,S37.431,Abdomen,0,0,1,2
S37.439A,S37.439,Abdomen,0,0,1,1
S37.521A,S37.521,Abdomen,0,0,1,1
S37.522A,S37.522,Abdomen,0,0,1,1
S37.60XA,S37.60,Abdomen,0,0,1,6
S37.62XA,S37.62,Abdomen,0,0.25,2,4
S37.63XA,S37.63,Abdomen,0,0.200000003,2,10
S37.69XA,S37.69,Abdomen,0,0,1,3
S37.812A,S37.812,Abdomen,0,0.100775197,1,129
S37.813A,S37.813,Abdomen,0,0.181818187,2,22
S37.818A,S37.818,Abdomen,0,0.071428575,1,14
S37.819A,S37.819,Abdomen,0,0.125,1,56
S37.823A,S37.823,Abdomen,0,0.5,4,2
S37.892A,S37.892,Abdomen,0,0.200000003,2,10
S37.893A,S37.893,Abdomen,0,0.166666672,2,6
S37.898A,S37.898,Abdomen,0,0,1,6
S37.899A,S37.899,Abdomen,0,0.200000003,2,10
S37.90XA,S37.90,Abdomen,0,0.333333343,3,3
S37.92XA,S37.92,Abdomen,0,0,1,14
S37.99XA,S37.99,Abdomen,0,0,1,3
S38.001A,S38.001,Abdomen,0,0,1,1
S38.02XA,S38.02,Abdomen,0,0,1,2
S38.1XXA,S38.1,Abdomen,0,0.222222224,2,9
S38.221A,S38.221,Abdomen,0,0,1,1
S38.222A,S38.222,Abdomen,0,0.111111112,1,9
S38.231A,S38.231,Abdomen,0,0,1,2
S38.232A,S38.232,Abdomen,0,0,1,1
S39.001A,S39.001,Abdomen,0,0,1,9
S39.003A,S39.003,Extremities,0,1,5,1
S39.011A,S39.011,Abdomen,0.142857149,0.051282052,4,39
S39.012A,S39.012,Extremities,0,0,1,92
S39.013A,S39.013,Extremities,0,0,1,3
S39.021A,S39.021,Abdomen,0,0.073170729,1,41
S39.022A,S39.022,Extremities,0,0,1,3
S39.023A,S39.023,Extremities,0,0.166666672,2,6
S39.091A,S39.091,Abdomen,0,0,1,17
S39.092A,S39.092,Extremities,0,0,1,3
S39.093A,S39.093,Extremities,0,0,1,4
S39.81XA,S39.81,Abdomen,0,0.131944448,1,144
S39.82XA,S39.82,Extremities,0,0.035714287,1,28
S39.83XA,S39.83,Extremities,0,0,1,16
S39.840A,S39.840,Abdomen,0,0,1,13
S39.848A,S39.848,Abdomen,0,0.03846154,1,26
S39.91XA,S39.91,Abdomen,0.03773585,0.078534029,2,191
S39.92XA,S39.92,Extremities,0,0,1,50
S39.93XA,S39.93,Extremities,0,0.200000003,2,5
S39.94XA,S39.94,Abdomen,0,0,1,4
S40.011A,S40.011,Extremities,0,0.061946902,1,339
S40.012A,S40.012,Extremities,0,0.056657225,1,353
S40.019A,S40.019,Extremities,0,0.081481479,1,135
S40.021A,S40.021,Extremities,0,0.105263159,1,171
S40.022A,S40.022,Extremities,0.034482758,0.087499999,2,160
S40.029A,S40.029,Extremities,0.025,0.077966101,2,295
S40.211A,S40.211,Extremities,0.046511628,0.08510638,2,423
S40.212A,S40.212,Extremities,0.02631579,0.08367347,2,490
S40.219A,S40.219,Extremities,0,0.046242774,1,346
S40.811A,S40.811,Extremities,0,0.071874999,1,320
S40.812A,S40.812,Extremities,0,0.091743119,1,327
S40.819A,S40.819,Extremities,0.13333334,0.11931818,4,176
S40.841A,S40.841,Extremities,0,1,5,1
S40.851A,S40.851,Extremities,0,0,1,1
S40.869A,S40.869,Extremities,0,0,1,1
S40.872A,S40.872,Extremities,0,0,1,1
S40.911A,S40.911,Extremities,0,0,1,1
S40.912A,S40.912,Extremities,0,0,1,5
S40.919A,S40.919,Extremities,0,0,1,2
S40.921A,S40.921,Extremities,0,0.5,4,2
S40.922A,S40.922,Extremities,0,0,1,2
S40.929A,S40.929,Extremities,0,0,1,2
S41.001A,S41.001,Extremities,0,0.079999998,1,25
S41.002A,S41.002,Extremities,0.06666667,0.075000003,3,40
S41.009A,S41.009,Extremities,0.034482758,0.163120568,3,141
S41.011A,S41.011,Extremities,0,0.03846154,1,104
S41.012A,S41.012,Extremities,0,0.06666667,1,135
S41.019A,S41.019,Extremities,0,0,1,5
S41.021A,S41.021,Extremities,0.125,0.1875,4,16
S41.022A,S41.022,Extremities,0,0.050000001,1,20
S41.029A,S41.029,Extremities,0,0.111111112,1,36
S41.031A,S41.031,Extremities,0,0.046511628,1,43
S41.032A,S41.032,Extremities,0,0.022727273,1,44
S41.039A,S41.039,Extremities,0,0.166666672,2,6
S41.041A,S41.041,Extremities,0,0.052631579,1,19
S41.042A,S41.042,Extremities,0.142857149,0.260869563,4,23
