icdbase,TQIPbr,TQIPeffect,TQIPint,TQIPn,TQIPais,NISbr,NISeffect,NISint,NISn,NISais,TQIPais_mod,NISais_mod,TQIPbr_mod,NISbr_mod
S06.9,Head/Neck,0.6027849388667731,-4.285670466553626,11310,3,Head/Neck,0.13040170955865066,-3.8786441179476343,4143,2,3,2,Head/Neck,Head/Neck
S07.0,Face,0.263426527703672,-4.285670466553626,211,2,Face,1.4050192572768867,-3.8786441179476343,21,5,2,5,Face,Face
S07.1,Head/Neck,4.33426932729805,-4.285670466553626,72,5,Head/Neck,0.8682606093863185,-3.8786441179476343,10,4,5,4,Head/Neck,Head/Neck
S07.8,Head/Neck,3.449436439345833,-4.285670466553626,4,5,Head/Neck,-0.7367643646092843,-3.8786441179476343,2,1,5,1,Head/Neck,Head/Neck
S07.9,Head/Neck,5.026581521752903,-4.285670466553626,12,5,Head/Neck,-3.1226239854406086,-3.8786441179476343,3,1,5,1,Head/Neck,Head/Neck
S08.0,Head/Neck,0.35220414100993364,-4.285670466553626,1704,2,Head/Neck,-0.06130950111189505,-3.8786441179476343,149,1,2,1,Head/Neck,Head/Neck
S08.1,Face,0.20253444369152304,-4.285670466553626,309,1,Face,-0.40465209965644533,-3.8786441179476343,47,1,1,1,Face,Face
S08.8,Head/Neck,0.4461452932380698,-4.285670466553626,81,3,Head/Neck,1.2180135989313914,-3.8786441179476343,10,5,3,5,Head/Neck,Head/Neck
S09.0,Head/Neck,0.06989941725047004,-4.285670466553626,561,1,Head/Neck,-0.18266381623683384,-3.8786441179476343,102,1,1,1,Head/Neck,Head/Neck
S09.1,Head/Neck,0.5631082248405492,-4.285670466553626,668,3,Head/Neck,-0.6807887789491613,-3.8786441179476343,190,1,3,1,Head/Neck,Head/Neck
S09.2,Face,-0.7017763733417136,-4.285670466553626,814,1,Face,-0.2819166405060858,-3.8786441179476343,131,1,1,1,Face,Face
S09.3,Head/Neck,-0.6502672893811158,-4.285670466553626,507,1,Head/Neck,-0.34603993577174086,-3.8786441179476343,32,1,1,1,Head/Neck,Head/Neck
S09.8,Head/Neck,0.28303975072992804,-4.285670466553626,2774,2,Head/Neck,-0.2641686361224739,-3.8786441179476343,760,1,2,1,Head/Neck,Head/Neck
S09.9,Head/Neck,0.28911213927492635,-4.285670466553626,25433,2,Head/Neck,-0.1174155017772759,-3.8786441179476343,8010,1,2,1,Head/Neck,Head/Neck
S10.0,Head/Neck,0.6174383669799545,-4.285670466553626,445,3,Head/Neck,0.6144402711763318,-3.8786441179476343,74,4,3,4,Head/Neck,Head/Neck
S10.1,Head/Neck,0.4042668359830636,-4.285670466553626,178,2,Head/Neck,-1.2748783227923088,-3.8786441179476343,33,1,2,1,Head/Neck,Head/Neck
S10.8,Head/Neck,0.367226764035735,-4.285670466553626,3976,2,Head/Neck,-0.32270493540363215,-3.8786441179476343,275,1,2,1,Head/Neck,Head/Neck
S10.9,Head/Neck,0.3995552390745675,-4.285670466553626,6347,2,Head/Neck,0.26311938560966713,-3.8786441179476343,913,2,2,2,Head/Neck,Head/Neck
S11.0,Head/Neck,0.8667610654095841,-4.285670466553626,571,4,Head/Neck,1.0412831073046664,-3.8786441179476343,90,5,4,5,Head/Neck,Head/Neck
S11.1,Head/Neck,0.3203673864220576,-4.285670466553626,171,2,Head/Neck,0.17377688792220405,-3.8786441179476343,23,2,2,2,Head/Neck,Head/Neck
S11.2,Head/Neck,0.27920513303064254,-4.285670466553626,519,2,Head/Neck,-0.1547755748341006,-3.8786441179476343,123,1,2,1,Head/Neck,Head/Neck
S11.8,Head/Neck,0.13358928588490238,-4.285670466553626,3569,1,Head/Neck,-0.47059050414994347,-3.8786441179476343,528,1,1,1,Head/Neck,Head/Neck
S11.9,Head/Neck,0.4381668858066249,-4.285670466553626,5073,3,Head/Neck,-0.28486561226995,-3.8786441179476343,842,1,3,1,Head/Neck,Head/Neck
S12.0,Head/Neck,0.6476306528729641,-4.285670466553626,8459,3,Head/Neck,0.6230125568535849,-3.8786441179476343,1848,4,3,4,Head/Neck,Head/Neck
S12.01,Head/Neck,-0.10164925081491381,-4.285670466553626,81,1,Head/Neck,0.9118580531075967,-3.8786441179476343,9,5,1,5,Head/Neck,Head/Neck
S12.1,Head/Neck,0.6956869182713898,-4.285670466553626,15917,3,Head/Neck,0.7521329292982242,-3.8786441179476343,3618,4,3,4,Head/Neck,Head/Neck
S12.11,Head/Neck,1.4400428194724328,-4.285670466553626,95,5,Head/Neck,2.003387113260261,-3.8786441179476343,13,5,5,5,Head/Neck,Head/Neck
S12.2,Head/Neck,0.1533576428642527,-4.285670466553626,3868,1,Head/Neck,0.1310541398640161,-3.8786441179476343,778,2,1,2,Head/Neck,Head/Neck
S12.21,Head/Neck,1.0295478918595213,-4.285670466553626,58,4,Head/Neck,0.48519950855063737,-3.8786441179476343,12,4,4,4,Head/Neck,Head/Neck
S12.3,Head/Neck,0.30893642688984013,-4.285670466553626,5160,2,Head/Neck,0.2989204835050527,-3.8786441179476343,1075,3,2,3,Head/Neck,Head/Neck
S12.31,Head/Neck,1.398821166693778,-4.285670466553626,49,5,Head/Neck,-0.4941594765291961,-3.8786441179476343,14,1,5,1,Head/Neck,Head/Neck
S12.4,Head/Neck,0.23561113913370896,-4.285670466553626,7726,1,Head/Neck,0.1373386745474916,-3.8786441179476343,1621,2,1,2,Head/Neck,Head/Neck
S12.41,Head/Neck,-0.5940742508088481,-4.285670466553626,77,1,Head/Neck,0.7374396888416017,-3.8786441179476343,18,4,1,4,Head/Neck,Head/Neck
S12.5,Head/Neck,0.17492353696932475,-4.285670466553626,11687,1,Head/Neck,0.2751007989407926,-3.8786441179476343,2375,2,1,2,Head/Neck,Head/Neck
S12.51,Head/Neck,1.3610560020262825,-4.285670466553626,87,5,Head/Neck,0.8977292476014518,-3.8786441179476343,28,5,5,5,Head/Neck,Head/Neck
S12.6,Head/Neck,-0.09362126321426437,-4.285670466553626,15049,1,Head/Neck,-0.04331952274000926,-3.8786441179476343,3049,1,1,1,Head/Neck,Head/Neck
S12.61,Head/Neck,-0.8479459238674636,-4.285670466553626,116,1,Head/Neck,-1.458888969245042,-3.8786441179476343,33,1,1,1,Head/Neck,Head/Neck
